Date,Description,Amount,Type
2026-08-01,Salary,50000,Income
2026-08-02,Rent,12000,Expense
2026-08-03,Swiggy,850,Expense
2026-08-04,Uber,450,Expense
2026-08-05,Amazon,2200,Expense
2026-08-06,Electricity Bill,1800,Expense
2026-08-07,Restaurant,1200,Expense
2026-08-08,Netflix,649,Expense
2026-08-09,Pharmacy,750,Expense
2026-08-10,Shopping,3500,Expense
2026-08-11,Internet Bill,999,Expense
2026-08-12,Salary,50000,Income
2026-08-13,Zomato,700,Expense
2026-08-14,Ola,380,Expense
2026-08-15,Amazon,1500,Expense
2026-08-16,Electricity Bill,1600,Expense
2026-08-17,Restaurant,900,Expense
2026-08-18,Spotify,119,Expense
2026-08-19,Medicine,650,Expense
2026-08-20,Shopping,2800,Expense
2026-08-21,Salary,50000,Income
2026-08-22,Uber,500,Expense
2026-08-23,Swiggy,950,Expense
2026-08-24,Rent,12000,Expense
